dtl_order_id,dtl_order_line,dtl_drug_id,dtl_drug_batch_no,dtl_qty,dtl_ord_date,dtl_ord_time,dtl_price
OR00000001,001,DOTC0004,B2112081,24,2022-01-16,142500,7.49
OR00000001,002,DDSV0003,B2106211,130,2022-01-16,142500,19.99
OR00000002,001,DDSV0004,B2112041,300,2022-01-18,114500,12.39
OR00000003,001,DOTC0004,B2112081,24,2022-01-29,130600,7.49
OR00000004,001,DPRX0005,B2109261,100,2022-01-29,143000,30.00
OR00000004,002,DOTC0002,B2202161,325,2022-01-29,143000,7.59
OR00000004,003,DDSV0001,B2103121,120,2022-01-29,143000,2.74
OR00000005,001,DOTC0002,B2202161,325,2022-01-29,150000,7.59
OR00000006,001,DDSV0001,B2103121,120,2022-01-30,092000,2.74
OR00000006,002,DDSV0004,B2112041,300,2022-01-30,092000,12.39
OR00000007,001,DDSV0002,B2104261,400,2022-02-01,100000,20.99
OR00000007,002,DDSV0003,B2106211,130,2022-02-01,100000,19.99
OR00000007,003,DDSV0004,B2112041,300,2022-02-01,100000,12.39
OR00000008,001,DOTC0003,B2202241,60,2022-02-01,113000,5.40
OR00000008,002,DDSV0002,B2104261,400,2022-02-01,113000,20.99
OR00000009,001,DOTC0003,B2202241,60,2022-02-01,113800,5.40
OR00000010,001,DDSV0002,B2104261,400,2022-02-01,122000,20.99
OR00000011,001,DPRX0006,B2108221,500,2022-02-02,101500,238.04
OR00000012,001,DPRX0001,B2201151,20,2022-02-02,112000,45.00
OR00000012,002,DOTC0003,B2202241,60,2022-02-02,112000,5.40
OR00000013,001,DPRX0002,B2111241,100,2022-02-02,112500,20.00
OR00000014,001,DOTC0004,B2112081,24,2022-02-03,093500,7.49
OR00000015,001,DOTC0002,B2202161,325,2022-02-03,111500,7.59
